"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 04:02:59 UTC 2023","Tue Nov 21 04:02:59 UTC 2023","22","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Nov 21 03:31:00 UTC 2023","Tue Nov 21 03:31:00 UTC 2023","185","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Nov 21 02:30:52 UTC 2023","Tue Nov 21 02:31:18 UTC 2023","25519","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Nov 21 03:09:57 UTC 2023","Tue Nov 21 03:09:59 UTC 2023","2136","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Nov 21 04:14:26 UTC 2023","Tue Nov 21 04:14:28 UTC 2023","1294","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Nov 21 04:05:40 UTC 2023","Tue Nov 21 04:06:21 UTC 2023","40682","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Nov 21 03:18:38 UTC 2023","Tue Nov 21 03:19:48 UTC 2023","70052","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Nov 21 04:13:49 UTC 2023","Tue Nov 21 04:13:52 UTC 2023","2534","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Nov 21 03:16:17 UTC 2023","Tue Nov 21 03:16:27 UTC 2023","10119","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Nov 21 03:09:51 UTC 2023","Tue Nov 21 03:09:52 UTC 2023","1660","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
